Imie,plec
Ada,K
Adam,M
Adela,K
Adelajda,K
Adrian,M
Adriana,K
Adrianna,K
Agata,K
Agnieszka,K
Alan,M
Albert,M
Aleks,M
Aleksander,M
Aleksandra,K
Aleksy,M
Alex,M
Alexander,M
Alexandra,K
Alicja,K
Alina,K
Amadeusz,M
Amanda,K
Amelia,K
Anastazja,K
Anatol,M
Andrzej,M
Andżelika,K
Aneta,K
Angelika,K
Aniela,K
Anika,K
Anita,K
Anna,K
Antoni,M
Antonia,K
Antonina,K
Apolonia,K
Arianna,K
Arkadiusz,M
Aron,M
Artur,M
August,M
Aurelia,K
Barbara,K
Bartłomiej,M
Bartosz,M
Beata,K
Benedykt,M
Beniamin,M
Benjamin,M
Bernard,M
Bianka,K
Blanka,K
Błażej,M
Bogdan,M
Bogna,K
Bogusław,M
Bolesław,M
Borys,M
Brajan,M
Brayan,M
Bronisław,M
Bruno,M
Brunon,M
Bryan,M
Brygida,K
Carmen,K
Cecylia,K
Celina,K
Cezary,M
Cyprian,M
Cyryl,M
Dagmara,K
Dalia,K
Damian,M
Daniel,M
Daniela,K
Danuta,K
Daria,K
Dariusz,M
David,M
Dawid,M
Denis,M
Diana,K
Diego,M
Dobrawa,K
Dobrochna,K
Dominik,M
Dominika,K
Donatan,M
Dorian,M
Dorota,K
Edward,M
Edyta,K
Elena,K
Eliza,K
Elżbieta,K
Emanuel,M
Emil,M
Emilia,K
Emilian,M
Emily,K
Emma,K
Ernest,M
Eryk,M
Estera,K
Ewa,K
Ewelina,K
Fabian,M
Faustyna,K
Felicja,K
Feliks,M
Filip,M
Florian,M
Franciszek,M
Franciszka,K
Fryderyk,M
Gabriel,M
Gabriela,K
Gaja,K
Gloria,K
Gniewko,M
Gniewomir,M
Gracjan,M
Greta,K
Grzegorz,M
Gustaw,M
Halina,K
Hana,K
Hanna,K
Helena,K
Henryk,M
Honorata,K
Hubert,M
Hugo,M
Ida,K
Idalia,K
Iga,K
Ignacy,M
Igor,M
Ilona,K
Ines,K
Inez,K
Inga,K
Inka,K
Irena,K
Ireneusz,M
Ivo,M
Iwo,M
Iwona,K
Izabela,K
Izabella,K
Jacek,M
Jadwiga,K
Jagna,K
Jagoda,K
Jakub,M
Jan,M
Jana,K
Janina,K
Janusz,M
Jarema,M
Jarosław,M
Jaśmina,K
Jeremi,M
Jeremiasz,M
Jerzy,M
Jessica,K
Jędrzej,M
Joachim,M
